"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Al Horford","BOS","PF,C DTD","9.4","7.2","3.2","1.2","0.7",".459",".837","1.2","65","27.7","1.0"
"Pat Connaughton","MIL","SG,SF DTD","9.4","4.2","1.3","0.3","0.8",".443",".806","2.1","72","25.5","0.6"
"Onyeka Okongwu","ATL","PF,C","9.4","6.6","1.2","1.4","0.7",".659",".736","0.0","70","22.9","1.0"
"Deni Avdija","WAS","SG,SF,PF","9.4","5.4","2.1","0.6","0.8",".436",".775","1.1","77","25.1","1.2"
"Caleb Martin","MIA","G DTD","9.4","4.1","1.2","0.5","1.0",".478",".762","1.2","71","24.9","0.9"
"Hamidou Diallo","DET","SG,SF","9.3","3.7","1.1","0.3","1.1",".495",".643","0.4","67","18.8","1.3"
"Isaiah Stewart","DET","PF,C","9.3","8.2","1.1","1.2","0.4",".514",".710","0.6","72","25.4","1.2"
"Naz Reid","MIN","C","9.3","4.1","1.0","1.0","0.5",".495",".734","0.8","74","16.9","1.0"
"Gary Harris","ORL","SG,SF OUT","9.3","2.3","1.5","0.2","0.8",".404",".846","1.6","65","24.2","0.8"
"Justin Holiday","ATL","SG,SF","9.2","2.8","1.5","0.4","0.8",".397",".800","2.1","74","25.0","0.8"
"Ricky Rubio","CLE","PG","9.2","2.5","5.3","0.1","1.2",".371",".845","1.2","43","22.5","1.8"
"Jeremiah Robinson-Earl","OKC","SF,PF","9.2","6.0","1.2","0.4","0.7",".434",".782","1.4","71","26.2","0.9"
"Bruce Brown Jr.","BKN","SG,SF","9.1","4.8","2.1","0.7","1.1",".502",".764","0.6","73","24.7","0.9"
"Trey Murphy III","NOR","SG,SF","9.1","2.3","0.7","0.1","0.5",".430",".873","1.8","73","21.3","0.3"
"Terence Davis II","SAC","SG,SF","9.1","2.8","1.5","0.3","0.8",".403",".773","1.6","70","19.1","1.1"
"Patrick Beverley","LAL","PG,SG","9.0","4.1","4.2","0.8","1.1",".416",".720","1.4","62","24.6","1.3"
"Jordan Nwora","MIL","SF","9.0","3.5","1.1","0.4","0.5",".411",".736","1.2","72","21.7","1.1"
"Mitchell Robinson","NYK","C","8.9","9.0","0.6","1.9","0.9",".716",".490","0.0","71","26.6","1.1"
"Isaiah Livers","DET","SF,PF","8.9","3.3","1.3","0.4","0.9",".467",".867","1.9","66","23.5","1.0"
"Jonathan Isaac","ORL","SF,PF OUT","8.8","4.3","1.1","1.5","1.1",".464",".760","0.7","47","22.0","1.0"
"Richaun Holmes","SAC","PF,C DTD","8.8","6.8","1.0","0.9","0.4",".656",".795","0.0","69","20.4","1.3"
"Zach Collins","SAS","PF,C DTD","8.8","6.0","2.4","0.9","0.5",".492",".798","0.6","66","20.3","1.8"
